Name,Details,Link,Unit Price,Quantity,Total Price,Running Total,Percentage of Total,,Total Price
Raspberry Pi Zero,,https://www.microcenter.com/product/502843/raspberry-pi-zero-wh-with-pre-soldered-headers,15.99,1,15.99,15.99,17.72%,,90.23
Electric Water Spray Kit 02,,https://us.store.bambulab.com/products/electric-water-spray-kit-02?id=42961100177544,10.99,1,11.95,27.94,13.24%,,
"Micro Servo Motors (2 pcs) 360 Degrees
",,https://www.aliexpress.us/item/3256808426929034.html,3.18,1,3.46,31.4,3.83%,,
Hot Sell HBVCAM 5MP OV5647 Raspberry Pi Camera Module with Automatic IR-Cut,,https://www.aliexpress.us/item/3256806071615047.html,8.25,1,13.79,45.19,15.28%,,
Raspberry pi OV5647 camera Zero adapter FFC special line 15cm,,https://www.aliexpress.us/item/3256805059340492.html,1.96,1,2.13,47.32,2.36%,,
304 Stainless Steel Solid Ball Dia 2.0mm SUS Precision Bearing Steel Ball,,https://www.aliexpress.us/item/3256803905354831.html,2.11,1,2.29,49.61,2.54%,,
5v 2w Solar Panel,,https://www.aliexpress.us/item/3256808785442350.html,18.4,1,20.01,69.62,22.18%,,
5v MPPT Solar Charge Controller,,https://www.aliexpress.us/item/3256806050084493.html,5.74,1,6.24,75.86,6.92%,,
PH 2.0 Adapter,,https://www.aliexpress.us/item/3256805305262265.html,3.95,1,4.3,80.16,4.77%,,
Male to Female Dupont Connectors,,https://www.aliexpress.us/item/3256803064350403.html,7.72,1,8.4,88.56,9.31%,,
RGB LED,,https://www.aliexpress.us/item/3256805965054405.html,1.67,1,1.67,90.23,1.85%,,
